Landing page,Month,Date,Hour,Sessions
/alopecia,1,2023-01-01,0,110
/alopecia,1,2023-01-01,1,166
/alopecia,1,2023-01-01,2,76
/alopecia,1,2023-01-01,3,99
/alopecia,1,2023-01-01,4,72
/alopecia,1,2023-01-01,5,50
/alopecia,1,2023-01-01,6,42
/alopecia,1,2023-01-01,7,72
/alopecia,1,2023-01-01,8,98
/alopecia,1,2023-01-01,9,141
/alopecia,1,2023-01-01,10,229
/alopecia,1,2023-01-01,11,202
/alopecia,1,2023-01-01,12,163
/alopecia,1,2023-01-01,13,190
/alopecia,1,2023-01-01,14,161
/alopecia,1,2023-01-01,15,180
/alopecia,1,2023-01-01,16,179
/alopecia,1,2023-01-01,17,187
/alopecia,1,2023-01-01,18,192
/alopecia,1,2023-01-01,19,166
/alopecia,1,2023-01-01,20,72
/alopecia,1,2023-01-01,21,350
/alopecia,1,2023-01-01,22,283
/alopecia,1,2023-01-01,23,222
/alopecia,1,2023-01-02,0,135
/alopecia,1,2023-01-02,1,118
/alopecia,1,2023-01-02,2,66
/alopecia,1,2023-01-02,3,61
/alopecia,1,2023-01-02,4,48
/alopecia,1,2023-01-02,5,36
/alopecia,1,2023-01-02,6,53
/alopecia,1,2023-01-02,7,108
/alopecia,1,2023-01-02,8,137
/alopecia,1,2023-01-02,9,135
/alopecia,1,2023-01-02,10,147
/alopecia,1,2023-01-02,11,142
/alopecia,1,2023-01-02,12,141
/alopecia,1,2023-01-02,13,175
/alopecia,1,2023-01-02,14,191
/alopecia,1,2023-01-02,15,175
/alopecia,1,2023-01-02,16,181
/alopecia,1,2023-01-02,17,192
/alopecia,1,2023-01-02,18,205
/alopecia,1,2023-01-02,19,239
/alopecia,1,2023-01-02,20,198
/alopecia,1,2023-01-02,21,266
/alopecia,1,2023-01-02,22,301
/alopecia,1,2023-01-02,23,285
/alopecia,1,2023-01-03,0,162
/alopecia,1,2023-01-03,1,112
/alopecia,1,2023-01-03,2,64
/alopecia,1,2023-01-03,3,34
/alopecia,1,2023-01-03,4,29
/alopecia,1,2023-01-03,5,54
/alopecia,1,2023-01-03,6,79
/alopecia,1,2023-01-03,7,122
/alopecia,1,2023-01-03,8,127
/alopecia,1,2023-01-03,9,152
/alopecia,1,2023-01-03,10,155
/alopecia,1,2023-01-03,11,130
/alopecia,1,2023-01-03,12,137
/alopecia,1,2023-01-03,13,154
/alopecia,1,2023-01-03,14,151
/alopecia,1,2023-01-03,15,146
/alopecia,1,2023-01-03,16,210
/alopecia,1,2023-01-03,17,202
/alopecia,1,2023-01-03,18,196
/alopecia,1,2023-01-03,19,215
/alopecia,1,2023-01-03,20,185
/alopecia,1,2023-01-03,21,204
/alopecia,1,2023-01-03,22,290
/alopecia,1,2023-01-03,23,188
/alopecia,1,2023-01-04,0,126
/alopecia,1,2023-01-04,1,84
/alopecia,1,2023-01-04,2,64
/alopecia,1,2023-01-04,3,27
/alopecia,1,2023-01-04,4,31
/alopecia,1,2023-01-04,5,48
/alopecia,1,2023-01-04,6,52
/alopecia,1,2023-01-04,7,72
/alopecia,1,2023-01-04,8,118
/alopecia,1,2023-01-04,9,112
/alopecia,1,2023-01-04,10,133
/alopecia,1,2023-01-04,11,109
